id,smiles,muni_similarity,muni_price_usd,muni_chemistry_risk,muni_chemistry_risk_score,muni_supplier_risk,jack_boltz_kd_uM,jack_boltz_prob_binder,scc_boltz_kd_uM,scc_boltz_prob_binder,v1_gnina_kd_uM,v1_gnina_pkd,v1_gnina_vina,v1_gnina_pose
opv1_000126,OB(O)c1cccc(NC(=S)Nc2cccc(B(O)O)c2)c1,1.0,250,medium,0.634,low,,,,,2.52,5.599,-7.17,0.6677
opv1_000098,O=C(Nc1cccc(B(O)O)c1)Nc1cccc(B(O)O)c1,1.0,125,low,1.0,low,,,,,2.86,5.544,-7.16,0.6631
opv1_000097,O=C(O)CC1CCN(C(=O)Nc2cccc(B(O)O)c2)CC1,1.0,250,medium,0.364,low,,,,,2.9,5.537,-6.59,0.661
opv1_000121,OB(O)c1cccc(NC(=S)Nc2cccc(Br)c2)c1,1.0,375,high,0.391,low,,,,,4.08,5.389,-6.66,0.7494
opv1_000096,CN1CCC(NC(=O)Nc2cccc(B(O)O)c2)CC1,1.0,375,high,0.054,low,,,,,4.62,5.335,-6.84,0.7385
opv1_000093,O=C(Nc1cccc(Br)c1)Nc1cccc(B(O)O)c1,1.0,375,high,0.037,low,,,,,4.76,5.322,-6.97,0.746
opv1_000095,O=C(NCc1ccncc1)Nc1cccc(B(O)O)c1,1.0,375,high,0.09,low,,,,,5.26,5.279,-6.93,0.7023
opv1_000076,O=C(Nc1cccc(Br)c1)Nc1cccc(Br)c1,1.0,375,high,0.036,low,,,,,6.32,5.199,-6.06,0.7691
FM001452_analog_0201,NC(=O)Nc1cccc(OCc2ccccc2)c1,1.0,375,high,0.526,medium,8.157,0.358,8.761,0.3599,,,,
FM001452_analog_0171,Nc1cccc(OCc2ccc(-c3ccncc3)cc2)c1,1.0,250,medium,0.739,medium,8.318,0.458,8.171,0.458,,,,
opv1_000078,O=C(NCc1ccncc1)Nc1cccc(Br)c1,1.0,375,high,0.095,low,,,,,10.84,4.965,-5.92,0.729
FM001580_analog_0059,O=C(O)c1cc(-c2ccsc2)ccc1OC(F)(F)F,1.0,125,low,0.811,low,16.722,0.416,17.057,0.4055,,,,
opv1_000002,O=C(Nc1cccc(Br)c1)c1ccc(Cl)cc1,1.0,375,high,0.189,low,,,,,18.71,4.728,-5.72,0.8046
opv1_000075,O=C(Nc1ccccc1)Nc1cccc(Br)c1,1.0,375,high,0.043,low,,,,,24.04,4.619,-5.92,0.7968
opv1_000009,O=C(Nc1cccc(Br)c1)C1Cc2ccccc2O1,1.0,375,high,0.272,high,,,,,25.23,4.598,-6.44,0.7304
opv1_000077,O=C(Nc1cccc(Br)c1)NC1CC1,1.0,375,high,0.049,low,,,,,30.62,4.514,-5.51,0.8374
FM001580_analog_0056,O=C(O)c1cc(-c2ccncc2)ccc1OC(F)(F)F,1.0,125,low,0.818,low,45.105,0.39,47.404,0.3902,,,,
opv1_000031,Nc1cccc(-c2cccc(C(F)(F)F)c2)c1,1.0,125,low,1.0,low,,,,,65.46,4.184,-5.95,0.8789
opv1_000057,FC(F)(F)c1cccc(Nc2ccccc2)c1,1.0,125,low,1.0,low,,,,,87.3,4.059,-5.96,0.8853
opv1_000032,Fc1ccc(-c2cccc(C(F)(F)F)c2)cc1,1.0,1000,low,1.0,high,,,,,87.9,4.056,-5.87,0.7994
opv1_000060,FC(F)(F)c1cccc(NCc2ccncc2)c1,1.0,250,medium,0.682,low,,,,,88.72,4.052,-5.71,0.8599
opv1_000023,Nc1cccc(-c2cccc(N)c2)c1,1.0,125,low,1.0,low,,,,,126.77,3.897,-5.97,0.8253
opv1_000030,FC(F)(F)c1cccc(-c2ccccc2)c1,1.0,125,low,1.0,low,,,,,127.64,3.894,-5.86,0.8275
