id,smiles,onepot_similarity,is_non_covalent,covalent_warheads,jack_boltz_kd_uM,jack_boltz_prob_binder,scc_boltz_kd_uM,scc_boltz_prob_binder,v1_gnina_kd_uM,v1_gnina_pkd,v1_gnina_vina,v1_gnina_pose
FM002150_analog_0083,O=C(O)COCc1ccc(-c2ccsc2)cc1,1.000,True,,3.2,0.301,3.256,0.2993,,,,
FM001452_analog_0104,Cc1ccccc1COc1cccc(N)c1,1.000,True,,3.722,0.409,4.973,0.4082,,,,
opv1_000076,O=C(Nc1cccc(Br)c1)Nc1cccc(Br)c1,1.000,True,,,,,,6.32,5.199,-6.06,0.7691
FM001452_analog_0201,NC(=O)Nc1cccc(OCc2ccccc2)c1,1.000,True,,8.157,0.358,8.761,0.3599,,,,
FM001452_analog_0171,Nc1cccc(OCc2ccc(-c3ccncc3)cc2)c1,1.000,True,,8.318,0.458,8.171,0.458,,,,
opv1_000078,O=C(NCc1ccncc1)Nc1cccc(Br)c1,1.000,True,,,,,,10.84,4.965,-5.92,0.729
FM001580_analog_0059,O=C(O)c1cc(-c2ccsc2)ccc1OC(F)(F)F,1.000,True,,16.722,0.416,17.057,0.4055,,,,
opv1_000002,O=C(Nc1cccc(Br)c1)c1ccc(Cl)cc1,1.000,True,,,,,,18.71,4.728,-5.72,0.8046
opv1_000075,O=C(Nc1ccccc1)Nc1cccc(Br)c1,1.000,True,,,,,,24.04,4.619,-5.92,0.7968
opv1_000009,O=C(Nc1cccc(Br)c1)C1Cc2ccccc2O1,1.000,True,,,,,,25.23,4.598,-6.44,0.7304
opv1_000077,O=C(Nc1cccc(Br)c1)NC1CC1,1.000,True,,,,,,30.62,4.514,-5.51,0.8374
FM001580_analog_0056,O=C(O)c1cc(-c2ccncc2)ccc1OC(F)(F)F,1.000,True,,45.105,0.39,47.404,0.3902,,,,
opv1_000031,Nc1cccc(-c2cccc(C(F)(F)F)c2)c1,1.000,True,,,,,,65.46,4.184,-5.95,0.8789
opv1_000057,FC(F)(F)c1cccc(Nc2ccccc2)c1,1.000,True,,,,,,87.3,4.059,-5.96,0.8853
opv1_000032,Fc1ccc(-c2cccc(C(F)(F)F)c2)cc1,1.000,True,,,,,,87.9,4.056,-5.87,0.7994
opv1_000060,FC(F)(F)c1cccc(NCc2ccncc2)c1,1.000,True,,,,,,88.72,4.052,-5.71,0.8599
opv1_000023,Nc1cccc(-c2cccc(N)c2)c1,1.000,True,,,,,,126.77,3.897,-5.97,0.8253
opv1_000030,FC(F)(F)c1cccc(-c2ccccc2)c1,1.000,True,,,,,,127.64,3.894,-5.86,0.8275
