id,smiles,best_vina_kcal,best_cnn_pose_score,best_cnn_affinity_pkd,best_cnn_affinity_uM
opv1_000063,OB(O)c1cccc(Nc2cccc(C(F)(F)F)c2)c1,-6.81,0.8052,5.414,3.85
opv1_000093,O=C(Nc1cccc(Br)c1)Nc1cccc(B(O)O)c1,-6.97,0.746,5.322,4.76
opv1_000031,Nc1cccc(-c2cccc(C(F)(F)F)c2)c1,-5.95,0.8789,4.184,65.46
opv1_000057,FC(F)(F)c1cccc(Nc2ccccc2)c1,-5.96,0.8853,4.059,87.3
opv1_000121,OB(O)c1cccc(NC(=S)Nc2cccc(Br)c2)c1,-6.66,0.7494,5.389,4.08
opv1_000096,CN1CCC(NC(=O)Nc2cccc(B(O)O)c2)CC1,-6.84,0.7385,5.335,4.62
opv1_000076,O=C(Nc1cccc(Br)c1)Nc1cccc(Br)c1,-6.06,0.7691,5.199,6.32
opv1_000077,O=C(Nc1cccc(Br)c1)NC1CC1,-5.51,0.8374,4.514,30.62
opv1_000060,FC(F)(F)c1cccc(NCc2ccncc2)c1,-5.71,0.8599,4.052,88.72
opv1_000126,OB(O)c1cccc(NC(=S)Nc2cccc(B(O)O)c2)c1,-7.17,0.6677,5.599,2.52
opv1_000002,O=C(Nc1cccc(Br)c1)c1ccc(Cl)cc1,-5.72,0.8046,4.728,18.71
opv1_000095,O=C(NCc1ccncc1)Nc1cccc(B(O)O)c1,-6.93,0.7023,5.279,5.26
opv1_000075,O=C(Nc1ccccc1)Nc1cccc(Br)c1,-5.92,0.7968,4.619,24.04
opv1_000098,O=C(Nc1cccc(B(O)O)c1)Nc1cccc(B(O)O)c1,-7.16,0.6631,5.544,2.86
opv1_000023,Nc1cccc(-c2cccc(N)c2)c1,-5.97,0.8253,3.897,126.77
opv1_000030,FC(F)(F)c1cccc(-c2ccccc2)c1,-5.86,0.8275,3.894,127.64
opv1_000097,O=C(O)CC1CCN(C(=O)Nc2cccc(B(O)O)c2)CC1,-6.59,0.661,5.537,2.9
opv1_000078,O=C(NCc1ccncc1)Nc1cccc(Br)c1,-5.92,0.729,4.965,10.84
opv1_000009,O=C(Nc1cccc(Br)c1)C1Cc2ccccc2O1,-6.44,0.7304,4.598,25.23
opv1_000032,Fc1ccc(-c2cccc(C(F)(F)F)c2)cc1,-5.87,0.7994,4.056,87.9
opv1_000036,Nc1cccc(Nc2ccccc2)c1,-5.41,0.8478,3.711,194.54
opv1_000094,O=C(Nc1cccc(B(O)O)c1)NC1CC1,-6.35,0.7174,4.798,15.92
opv1_000071,O=C(Nc1ccccc1)Nc1ccccc1,-5.51,0.7938,4.107,78.16
opv1_000026,Nc1cccc(-c2ccc(C(=O)O)cc2)c1,-6.61,0.7505,3.925,118.85
opv1_000065,COc1cccc(Nc2cccc(Br)c2)c1,-5.1,0.8216,3.974,106.17
opv1_000072,O=C(Nc1ccccc1)NC1CC1,-5.14,0.8214,3.94,114.82
opv1_000014,O=C(Nc1cccc(B(O)O)c1)C1Cc2ccccc2O1,-7.24,0.6226,5.189,6.47
opv1_000062,O=C(O)CC1CCN(c2cccc(C(F)(F)F)c2)CC1,-6.04,0.7575,4.147,71.29
opv1_000001,O=C(Nc1ccccc1)c1ccc(Cl)cc1,-5.54,0.7798,4.088,81.66
opv1_000051,Fc1ccc(Nc2cccc(Br)c2)cc1,-5.1,0.8011,4.048,89.54
opv1_000084,O=C(NCc1ccncc1)Nc1ccccc1,-5.71,0.746,4.297,50.47
opv1_000059,FC(F)(F)c1cccc(NC2CC2)c1,-5.29,0.8165,3.573,267.3
opv1_000139,CC(Nc1cccc(B(O)O)c1)c1ccccc1,-6.52,0.639,5.066,8.59
opv1_000010,O=C(NC1CC1)C1Cc2ccccc2O1,-5.59,0.7596,4.02,95.5
opv1_000004,O=C(NCc1ccncc1)c1ccc(Cl)cc1,-5.23,0.7711,4.086,82.04
opv1_000049,O=C(O)c1ccc(Nc2cccc(B(O)O)c2)cc1,-7.07,0.6141,4.912,12.25
opv1_000044,O=C(O)c1ccc(Nc2cccc(Br)c2)cc1,-5.61,0.7389,4.209,61.8
opv1_000022,Nc1cccc(-c2ccccc2)c1,-5.86,0.7606,3.705,197.24
opv1_000024,Nc1cccc(-c2ccc(F)cc2)c1,-6.04,0.7378,3.875,133.35
opv1_000029,Fc1ccc(-c2ccc(F)cc2)cc1,-5.53,0.7486,3.879,132.13
opv1_000011,O=C(NCc1ccncc1)C1Cc2ccccc2O1,-6.15,0.6831,4.338,45.92
opv1_000085,O=C(NCc1ccncc1)NC1CC1,-4.97,0.7628,4.039,91.41
opv1_000070,COc1cccc(Nc2cccc(B(O)O)c2)c1,-6.4,0.6256,4.888,12.94
opv1_000106,S=C(NCc1ccncc1)Nc1cccc(Br)c1,-5.76,0.6652,4.721,19.01
opv1_000086,O=C(NCc1ccncc1)NCc1ccncc1,-5.55,0.6988,4.374,42.27
opv1_000053,Fc1ccc(NCc2ccncc2)cc1,-5.12,0.7607,3.784,164.44
opv1_000055,O=C(O)CC1CCN(c2ccc(F)cc2)CC1,-5.0,0.738,4.161,69.02
opv1_000025,O=C(O)c1ccc(-c2ccccc2)cc1,-5.75,0.7191,3.881,131.52
opv1_000103,S=C(Nc1ccccc1)Nc1cccc(Br)c1,-5.41,0.6715,4.733,18.49
opv1_000021,O=C(CC1CCNCC1)Nc1cccc(B(O)O)c1,-6.8,0.5788,4.977,10.54
