id,smiles
gen_0007,COc1cc2nc(-c3cccc(N)c3)nc(-n3nc4ccccn4c3=O)c2cc1N
Z795991852_analog_0087,Cn1c(=O)c2ccccc2n2c(COc3cccc(C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0021,Cn1c(=O)c2ccccc2n2c(C(=O)NC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12
gen_0025,COc1cc2nc(-c3cccc(N)c3)nc(NS(=O)(=O)c3ccc(C)cc3)c2cc1N
opv1_000063,OB(O)c1cccc(Nc2cccc(C(F)(F)F)c2)c1
opv1_000093,O=C(Nc1cccc(Br)c1)Nc1cccc(B(O)O)c1
opv1_000031,Nc1cccc(-c2cccc(C(F)(F)F)c2)c1
opv1_000057,FC(F)(F)c1cccc(Nc2ccccc2)c1
opv1_000121,OB(O)c1cccc(NC(=S)Nc2cccc(Br)c2)c1
opv1_000096,CN1CCC(NC(=O)Nc2cccc(B(O)O)c2)CC1
opv1_000076,O=C(Nc1cccc(Br)c1)Nc1cccc(Br)c1
opv1_000077,O=C(Nc1cccc(Br)c1)NC1CC1
opv1_000060,FC(F)(F)c1cccc(NCc2ccncc2)c1
opv1_000126,OB(O)c1cccc(NC(=S)Nc2cccc(B(O)O)c2)c1
opv1_000002,O=C(Nc1cccc(Br)c1)c1ccc(Cl)cc1
opv1_000095,O=C(NCc1ccncc1)Nc1cccc(B(O)O)c1
opv1_000075,O=C(Nc1ccccc1)Nc1cccc(Br)c1
opv1_000098,O=C(Nc1cccc(B(O)O)c1)Nc1cccc(B(O)O)c1
opv1_000023,Nc1cccc(-c2cccc(N)c2)c1
opv1_000030,FC(F)(F)c1cccc(-c2ccccc2)c1
opv1_000097,O=C(O)CC1CCN(C(=O)Nc2cccc(B(O)O)c2)CC1
opv1_000078,O=C(NCc1ccncc1)Nc1cccc(Br)c1
opv1_000009,O=C(Nc1cccc(Br)c1)C1Cc2ccccc2O1
opv1_000032,Fc1ccc(-c2cccc(C(F)(F)F)c2)cc1
Z795991852_analog_0008,O=C(Nc1cccc(-c2cccc(C3Cc4ccccc4O3)c2)c1)C1Cc2ccccc2O1
Z795991852_analog_0002,O=C(Nc1cccc(C2Cc3ccccc3O2)c1)C1Cc2ccccc2O1
Z795991852_analog_0025,Cn1c(=O)c2ccccc2n2c(C(=O)NC3Cc4ccccc4O3)nnc12
Z795991852_analog_0035,Cn1c(=O)c2ccccc2n2c(CNC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0011,Cn1c(=O)c2ccccc2n2c(CNC(=O)C3Cc4ccccc4O3)nnc12
Z795991852_analog_0039,Cn1c(=O)c2ccccc2n2c(C(=O)OC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0034,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)NCC4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0081,Cn1c(=O)c2ccccc2n2c(Oc3cccc(OC4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0012,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC(=O)C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0052,Cn1c(=O)c2ccccc2n2c(CNC3Cc4ccccc4O3)nnc12
gen_0051,COc1cc2nc(-c3cccc(N)c3)nc(-c3ccc4ccccc4c3)c2cc1N
Z795991852_analog_0047,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(OC4Cc5ccccc5O4)c3)nnc12
gen_0032,COc1cc2nc(-c3cccc(N)c3)nc(-c3cc4ccccc4cc3O)c2cc1N
Z795991852_analog_0022,Cn1c(=O)c2ccccc2n2c(NC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0086,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0095,Cn1c(=O)c2ccccc2n2c(-c3cccc(C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0040,Cn1c(=O)c2ccccc2n2c(COC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0041,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(OC4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0046,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0048,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(NC4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0029,Cn1c(=O)c2ccccc2n2c(C(=O)NCC3Cc4ccccc4O3)nnc12
Z795991852_analog_0024,Cn1c(=O)c2ccccc2n2c(NC(=O)c3cccc(NC4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0053,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0091,Cn1c(=O)c2ccccc2n2c(OCc3cccc(C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0059,Cn1c(=O)c2ccccc2n2c(Oc3cccc(NC4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0062,Cn1c(=O)c2ccccc2n2c(CNc3cccc(NC4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0005,Cn1c(=O)c2ccccc2n2c(Oc3cccc(NC(=O)C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0057,Cn1c(=O)c2ccccc2n2c(OCc3cccc(NC4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0018,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)OC(=O)C4Cc5ccccc5O4)c3)nnc12
gen_0059,COc1cc2nc(-c3cccc(N)c3)nc(Cc3ccc4ccccc4c3)c2cc1N
Z795991852_analog_0066,Cn1c(=O)c2ccccc2n2c(Nc3cccc(C4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0044,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(NC4Cc5ccccc5O4)c3)nnc12
Z795991852_analog_0043,Cn1c(=O)c2ccccc2n2c(Nc3cccc(C(=O)OC4Cc5ccccc5O4)c3)nnc12
FM001452_analog_0130,Nc1cccc(OCc2cccc(S(N)(=O)=O)c2)c1
FM001580_analog_0041,O=C(O)c1cc(C(F)(F)F)ccc1OC(F)(F)F
FM001452_analog_0201,NC(=O)Nc1cccc(OCc2ccccc2)c1
FM001452_analog_0106,CNC(=O)c1ccccc1COc1cccc(N)c1
Z795991852_analog_0085,Cn1c(=O)c2ccccc2n2c(Oc3cccc(COC4Cc5ccccc5O4)c3)nnc12
FM001452_analog_0017,Nc1cc(OCc2ccccc2)ccc1S(N)(=O)=O
Z795991852_analog_0042,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C(=O)OC4Cc5ccccc5O4)c3)nnc12
FM001580_analog_0100,NC(=O)c1cccc(C(=O)O)c1OC(F)(F)F
FM001452_analog_0131,NC(=O)c1cccc(COc2cccc(N)c2)c1
FM001580_analog_0059,O=C(O)c1cc(-c2ccsc2)ccc1OC(F)(F)F
FM001580_analog_0056,O=C(O)c1cc(-c2ccncc2)ccc1OC(F)(F)F
Z795991852_analog_0050,Cn1c(=O)c2ccccc2n2c(C(=O)OCc3cccc(C4Cc5ccccc5O4)c3)nnc12
FM001452_analog_0171,Nc1cccc(OCc2ccc(-c3ccncc3)cc2)c1
FM001580_analog_0043,NS(=O)(=O)c1ccc(OC(F)(F)F)c(C(=O)O)c1
FM001452_analog_0135,CNC(=O)c1cccc(COc2cccc(N)c2)c1
FM001452_analog_0145,Nc1cccc(OCc2cccc(-c3ccccn3)c2)c1
gen_0004,COc1cc2nc(-c3cccc(N)c3)nc(Cn3nc4ccccn4c3=O)c2cc1N
Z795991852_analog_0001,Cn1c(=O)c2ccccc2n2c(NC(=O)C3Cc4ccccc4O3)nnc12
FM001452_analog_0112,CC(C)c1ccccc1COc1cccc(N)c1
FM001452_analog_0137,Nc1cccc(OCc2cccc(OCCO)c2)c1
FM001452_analog_0169,CC(C)c1ccc(COc2cccc(N)c2)cc1
